Chr	cnvStart	cnvEnd	CpG	Gene	Distance	rValue	-log(NomimalPvalue)	-log(PermutationPvalueP100)	-log(PermutationPvalueP10)	Source	NominalPvalue
1	152472595	152473047	cg06237414	MTX1	972482	-0.384	2.3472	2.1330	2.9443	1000GPgenotype	0.004496075770364
8	144773467	144777025	cg22892110	MAPK15	95255	0.401	2.5341	2.4779	3.3173	1000GPgenotype	0.002923206814227
11	116173576	116178898	cg02831393	PAFAH1B2	344312	-0.366	2.1520	1.8822	2.7168	1000GPgenotype	0.007046718706530
5	172967897	172968846	cg23003881	FAM44B	7736	0.448	3.1101	2.7814	3.7982	1000GPgenotype	0.000776072002159
8	12277832	12280453	cg18123948	GATA4	681485	0.465	3.3481	2.7353	3.7580	1000GPgenotype	0.000448612969621
10	115499109	115499422	cg14826456	ADRB1	294824	-0.404	2.5664	2.3245	3.1619	1000GPgenotype	0.002713832005288
7	93730519	93730716	cg16872560	PPP1R9A	644723	0.400	2.5188	2.4202	3.3997	1000GPgenotype	0.003028415552438
6	111401904	111402210	cg04128563	AMD1	98875	-0.442	3.0306	2.5001	3.6370	1000GPgenotype	0.000931897995274
4	157522137	157522217	cg09688546	GLRB	694716	0.428	2.8600	2.4873	3.2674	1000GPgenotype	0.001380438771688
13	110030856	110031167	cg15270851	FLJ12118	125500	-0.407	2.6078	2.4701	3.1022	1000GPgenotype	0.002467405276013
8	144584722	144584824	cg24596472	TOP1MT	96657	-0.383	2.3336	2.3215	3.3102	1000GPgenotype	0.004638490349395
8	144584722	144584824	cg10913563	C8orf55	779176	0.407	2.6061	2.5532	3.8114	1000GPgenotype	0.002476669343625
17	64060387	64060716	cg16435601	FALZ	808430	0.444	3.0588	2.7301	3.6086	1000GPgenotype	0.000873296673690
17	34216976	34218433	cg10398950	CRKRS	654741	-0.446	3.0821	2.4680	3.4872	1000GPgenotype	0.000827726697926
17	34216976	34218433	cg13824734	PSMB3	55317	-0.414	2.6860	2.4968	3.5641	1000GPgenotype	0.002060566121057
