Chr	cnvStart	cnvEnd	CpG	Gene	Distance	rValue	-log(NomimalPvalue)	-log(PermutationPvalueP100)	-log(PermutationPvalueP10)	Source	NominalPvalue
16	67174843	67180909	cg26012103	SOCS1	55920681	-0.516	4.1115	4.0707	4.7661	1000GPgenotype	0.000077351058027
9	139893432	139897015	cg16386080	CCRK	50115760	0.557	4.8384	4.2766	5.3684	1000GPgenotype	0.000014506324439
17	55224998	55225966	cg05856931	MSI2	2536690	-0.567	5.0275	4.1765	5.0352	1000GPgenotype	0.000009387313729
18	61917850	61920182	cg25602457	DCC	13796565	-0.540	4.5304	4.1059	4.9241	1000GPgenotype	0.000029482827468
16	73987360	73988137	cg06736444	SRRM2	71245237	-0.555	4.7893	4.0992	5.3877	1000GPgenotype	0.000016243327372
8	144584722	144584824	cg17176732	OXR1	36845361	-0.544	4.5948	4.3940	5.4505	1000GPgenotype	0.000025419621573
8	144584722	144584824	cg16729690	FZD3	116176993	-0.567	5.0211	4.3454	5.2326	1000GPgenotype	0.000009526195496
5	88078895	88079222	cg17329249	MAT2B	74783798	0.606	5.8095	4.4690	5.5880	1000GPgenotype	0.000001550460042
14	106057907	106057966	cg04585992	TRAPPC6B	67348630	-0.524	4.2394	4.0582	5.0278	1000GPgenotype	0.000057624479888
7	4047791	4048822	cg07681084	LMBR1	152330188	0.531	4.3645	4.3449	5.4380	1000GPgenotype	0.000043203100514
2	77971399	77971865	cg20389709	KLF11	67870545	0.558	4.8511	4.5117	5.5688	1000GPgenotype	0.000014088450774
22	22606435	22609225	cg17239761	SNAP29	3064835	-0.567	5.0219	3.9506	4.9208	1000GPgenotype	0.000009509092260
15	21658807	21658969	cg08757531	FAM103A1	59787046	-0.544	4.5934	3.9867	5.0124	1000GPgenotype	0.000025505898147
3	185359510	185360097	cg06806080	CD47	76067124	-0.548	4.6600	4.4959	5.4428	1000GPgenotype	0.000021875381860
3	116149712	116151030	cg14106308	VEPH1	42549572	0.560	4.8893	4.5908	5.7666	1000GPgenotype	0.000012903201445
3	192269772	192270635	cg20856064	PH-4	143267459	0.571	5.0871	4.4380	5.6243	1000GPgenotype	0.000008183212062
8	25043112	25046230	cg15995002	RAD54B	70511761	-0.542	4.5526	4.3333	5.3552	1000GPgenotype	0.000028015544486
1	223323169	223323465	cg09633588	C1orf174	219515731	0.545	4.6143	4.4538	5.4231	1000GPgenotype	0.000024307814171
2	126159718	126168301	cg07915542	IDH1	82664296	-0.537	4.4772	4.4538	5.3533	1000GPgenotype	0.000033326046210
11	20152279	20152418	cg20869710	APIP	14742065	-0.541	4.5386	4.3427	5.3069	1000GPgenotype	0.000028934907652
11	5764712	5765830	cg07696033	ALX4	38517420	-0.532	4.3856	4.3177	5.4525	1000GPgenotype	0.000041151062071
14	21022465	21024502	cg10300684	FOXG1B	7282664	0.519	4.1683	4.0766	5.1362	1000GPgenotype	0.000067869499939
17	2141671	2141805	cg06759215	DBF4B	38000071	-0.521	4.2037	4.1288	5.1413	1000GPgenotype	0.000062556943839
1	111876218	111876328	cg11844110	C1orf132	94232656	-0.559	4.8651	4.5330	5.4653	1000GPgenotype	0.000013644130220
15	85691981	85692053	cg00410576	MAPK6	35593007	0.533	4.3942	4.0337	4.9397	1000GPgenotype	0.000040344553782
10	127735174	127735974	cg08395899	UPF2	115610758	-0.530	4.3487	4.2897	5.2872	1000GPgenotype	0.000044802973588
11	5741150	5765858	cg07696033	ALX4	38529187	-0.532	4.3856	4.3177	5.4525	1000GPgenotype	0.000041151062071
15	22228612	22230630	cg05924191	FLJ20582	10837641	0.573	5.1260	3.9623	5.1464	1000GPgenotype	0.000007481899962
22	22619467	22620525	cg08431931	MGC26816	18104910	-0.516	4.1206	3.8617	4.7601	1000GPgenotype	0.000075760433922
17	73499878	73500192	cg23267110	EPN2	54418543	0.550	4.7103	4.0584	5.1325	1000GPgenotype	0.000019486899584
2	224928174	224928712	cg26824467	LASS6	55907132	-0.563	4.9360	4.5039	5.5527	1000GPgenotype	0.000011587304981
14	49070698	49070826	cg19168631	DAAM1	9654438	-0.622	6.1845	4.0904	4.9713	1000GPgenotype	0.000000653855678
15	22237952	22241300	cg05924191	FLJ20582	10827636	0.573	5.1260	3.9623	5.1464	1000GPgenotype	0.000007481899962
8	23954409	23954543	cg15301700	SCRT1	121577442	0.565	4.9750	4.3290	5.4505	1000GPgenotype	0.000010591983340
17	36675248	36685688	cg00214346	PRKAR1A	27339754	-0.536	4.4460	4.1237	5.0832	1000GPgenotype	0.000035813314560
17	36675248	36685688	cg19383689	WSB1	14035134	-0.522	4.2083	4.1079	5.2337	1000GPgenotype	0.000061903185695
20	40340323	40340374	cg11004890	SLC4A11	37172568	0.519	4.1710	3.8492	4.6316	1000GPgenotype	0.000067456393744
8	25038502	25040900	cg15995002	RAD54B	70516731	-0.542	4.5526	4.3333	5.3552	1000GPgenotype	0.000028015544486
5	90029031	90029087	cg10331779	CTNND2	78072079	0.552	4.7320	4.5093	5.5155	1000GPgenotype	0.000018534951300
16	26290901	26291233	cg11115702	SPIN1	2602622	0.516	4.1175	4.0535	5.1177	1000GPgenotype	0.000076296826150
4	57782103	57782501	cg15843217	PCGF3	57092724	0.555	4.7879	4.5145	5.5224	1000GPgenotype	0.000016296308805
19	20041433	20041748	cg07242565	NR2F6	2824282	-0.522	4.2086	3.9719	4.9672	1000GPgenotype	0.000061855744928
13	29113824	29119844	cg02162950	KIAA1008	43137246	0.527	4.3052	4.2330	5.4343	1000GPgenotype	0.000049526284599
11	4759098	4759408	cg17441778	MYO7A	71756969	0.566	4.9929	4.2842	5.2670	1000GPgenotype	0.000010165792529
9	16322324	16322438	cg10716607	TOPORS	16220083	0.550	4.6937	4.3420	5.4361	1000GPgenotype	0.000020243458496
15	22262752	22265250	cg05924191	FLJ20582	10803261	0.573	5.1260	3.9623	5.1464	1000GPgenotype	0.000007481899962
2	41094412	41095830	cg16406212	UBXD4	17078457	-0.550	4.7039	4.5201	5.5967	1000GPgenotype	0.000019775925524
2	41091871	41103797	cg16406212	UBXD4	17081170	-0.550	4.7039	4.5201	5.5967	1000GPgenotype	0.000019775925524
19	41738022	41738337	cg24824840	SHANK1	14173789	0.517	4.1378	3.9553	4.9015	1000GPgenotype	0.000072808044069
9	140099612	140101330	cg20188282	GTF3C5	5204643	-0.541	4.5387	4.2806	5.2857	1000GPgenotype	0.000028925006261
1	195053464	195055175	cg14106085	FOXD2	147379447	0.581	5.2924	4.4769	5.5851	1000GPgenotype	0.000005099945217
12	33113269	33113326	cg07973246	SRGAP1	29410953	-0.532	4.3838	4.2892	5.2315	1000GPgenotype	0.000041325888431
8	25034712	25037930	cg15995002	RAD54B	70520111	-0.542	4.5526	4.3333	5.3552	1000GPgenotype	0.000028015544486
5	150860912	150862730	cg20584011	ZDHHC11	149957316	0.544	4.5979	4.4964	5.5095	1000GPgenotype	0.000025242358875
8	76576602	76576706	cg23644127	C8orf38	19529753	-0.605	5.8028	4.3612	5.3918	1000GPgenotype	0.000001574658203
8	127470365	127474127	cg23538854	IL7	47592522	0.541	4.5464	4.3226	5.2233	1000GPgenotype	0.000028415522284
12	102902827	102903508	cg14914982	CCND2	98649118	-0.569	5.0536	4.3051	5.1348	1000GPgenotype	0.000008839218723
10	35633213	35633542	cg07621046	C10orf82	82786295	0.582	5.3178	4.3035	5.2573	1000GPgenotype	0.000004811086157
15	99159011	99159893	cg17316750	FAM82C	60325030	0.514	4.0862	3.9503	4.8419	1000GPgenotype	0.000082000318083
15	99159011	99159893	cg25808839	LACTB	37958056	0.543	4.5701	3.9694	4.7557	1000GPgenotype	0.000026906412836
15	99159011	99159893	cg17676096	LEO1	49107939	0.532	4.3910	4.0472	5.2479	1000GPgenotype	0.000040648388349
14	97853734	97854840	cg11700584	RPL36AL	48696794	0.523	4.2315	4.0869	4.8974	1000GPgenotype	0.000058685811462
15	22234312	22236830	cg05924191	FLJ20582	10831691	0.573	5.1260	3.9623	5.1464	1000GPgenotype	0.000007481899962
10	133299069	133299399	cg24428042	ECHDC3	121475089	0.588	5.4260	4.2114	5.1898	1000GPgenotype	0.000003750010457
7	39563899	39564163	cg07753583	LRRC61	110087347	0.547	4.6493	4.4854	5.5469	1000GPgenotype	0.000022424653508
7	131044876	131047079	cg03700462	HOXA1	103943426	0.532	4.3853	4.3282	5.4261	1000GPgenotype	0.000041183590107
2	41099912	41101730	cg16406212	UBXD4	17084157	-0.550	4.7039	4.5201	5.5967	1000GPgenotype	0.000019775925524
19	14907392	14910477	cg18678421	LENG8	44743156	0.518	4.1473	3.9820	5.0635	1000GPgenotype	0.000071243746674
19	14907392	14910477	cg03410718	FLJ45684	14310508	-0.522	4.2175	3.9874	5.1017	1000GPgenotype	0.000060606263700
15	19810212	19812830	cg23311628	RAB8B	41457244	-0.562	4.9148	3.8992	5.0243	1000GPgenotype	0.000012168375068
19	13636678	13637850	cg15456206	ZNF580	47206967	0.506	3.9526	3.9333	4.8554	1000GPgenotype	0.000111538585555
12	9533412	9535530	cg14449051	SLC6A15	74295674	-0.537	4.4651	4.3641	5.4813	1000GPgenotype	0.000034271188416
15	22269112	22271030	cg05924191	FLJ20582	10797191	0.573	5.1260	3.9623	5.1464	1000GPgenotype	0.000007481899962
8	138812148	138813043	cg04681849	PDGFRL	121333450	-0.535	4.4354	4.3518	5.1292	1000GPgenotype	0.000036697729664
19	8150155	8150976	cg17832674	CALM3	43645621	-0.520	4.1765	3.9652	5.2278	1000GPgenotype	0.000066600680918
19	56825467	56828525	cg27611665	FBXL12	47036378	0.561	4.9067	3.9951	4.8484	1000GPgenotype	0.000012395760897
6	823279	823565	cg07971188	HCP5	30715542	0.554	4.7732	4.5124	5.6832	1000GPgenotype	0.000016858970509
2	188827468	188829227	cg22395019	GALNT14	157613845	-0.547	4.6486	4.4929	5.8672	1000GPgenotype	0.000022461806640
19	38264621	38264884	cg06586599	MCOLN1	30771240	0.545	4.6180	3.9961	5.1061	1000GPgenotype	0.000024101043296
8	115703212	115704730	cg23526055	TCEB1	40656851	0.539	4.5039	4.2585	5.5558	1000GPgenotype	0.000031340784061
12	7713911	7715588	cg26829131	HOXC9	44965511	-0.600	5.6815	4.4166	5.6785	1000GPgenotype	0.000002082040785
15	22246712	22250530	cg05924191	FLJ20582	10818641	0.573	5.1260	3.9623	5.1464	1000GPgenotype	0.000007481899962
20	35249024	35249335	cg07889201	ZNF343	32811463	-0.559	4.8603	3.8741	4.7802	1000GPgenotype	0.000013793411671
20	36572671	36572983	cg09926892	RNPC2	2779579	0.502	3.8963	3.8792	5.0196	1000GPgenotype	0.000126970030725
19	52496196	52496275	cg05488632	ABHD9	37291502	0.561	4.9075	3.9382	4.9253	1000GPgenotype	0.000012374654852
16	58589584	58589897	cg19369556	CDH13	22628826	0.551	4.7124	4.0338	5.0436	1000GPgenotype	0.000019391681915
2	82889150	82889927	cg15768203	PPIG	87260125	0.561	4.9128	4.4374	5.5385	1000GPgenotype	0.000012223151702
7	150861131	150862776	cg25990230	PMS2L3	75866771	0.555	4.7909	4.3750	5.4988	1000GPgenotype	0.000016184784669
18	61359207	61359301	cg07980518	RNF152	3647065	-0.544	4.5913	4.0442	5.2291	1000GPgenotype	0.000025628186452
7	120077487	120078623	cg14427173	RINT-1	15118155	-0.549	4.6799	4.4208	5.6753	1000GPgenotype	0.000020897689205
15	22220463	22270264	cg05924191	FLJ20582	10821899	0.573	5.1260	3.9623	5.1464	1000GPgenotype	0.000007481899962
3	163118206	163118385	cg14870461	AER61	93973122	-0.549	4.6799	4.4251	5.5641	1000GPgenotype	0.000020898069679
3	163118206	163118385	cg03929796	ALAS1	110910987	-0.616	6.0472	4.5657	5.5004	1000GPgenotype	0.000000896927822
19	55526309	55526366	cg06650786	NOTCH3	40353854	-0.515	4.1027	4.0197	5.1441	1000GPgenotype	0.000078940343445
11	5760312	5763730	cg07696033	ALX4	38520670	-0.532	4.3856	4.3177	5.4525	1000GPgenotype	0.000041151062071
19	41532551	41533972	cg15392792	DNM2	30843335	-0.517	4.1321	3.9559	4.9068	1000GPgenotype	0.000073776646832
17	36675467	36681025	cg00214346	PRKAR1A	27341976	-0.536	4.4460	4.1237	5.0832	1000GPgenotype	0.000035813314560
17	36675467	36681025	cg19383689	WSB1	14032912	-0.522	4.2083	4.1079	5.2337	1000GPgenotype	0.000061903185695
9	33413362	33414654	cg12118437	REXO4	101858808	0.550	4.7101	4.2247	5.4025	1000GPgenotype	0.000019493396456
13	45804889	45805037	cg16000832	RCBTB2	2200018	0.542	4.5618	4.2102	5.4038	1000GPgenotype	0.000027428513402
3	159758323	159758423	cg13775495	IL12A	1431059	-0.575	5.1685	4.5579	5.8938	1000GPgenotype	0.000006783829896
16	18740026	18745877	cg04339860	WWP2	49610913	-0.514	4.0897	3.9694	4.9875	1000GPgenotype	0.000081329880023
16	18740026	18745877	cg19229809	ZNF267	13049892	-0.602	5.7306	4.0098	5.2346	1000GPgenotype	0.000001859358460
16	18740026	18745877	cg27254601	MAZ	10982477	-0.558	4.8440	4.1215	5.2607	1000GPgenotype	0.000014323433072
16	18740026	18745877	cg15134649	MT1E	36473711	-0.534	4.4192	4.0551	5.0674	1000GPgenotype	0.000038093080037
11	5753312	5756230	cg07696033	ALX4	38527920	-0.532	4.3856	4.3177	5.4525	1000GPgenotype	0.000041151062071
7	147703797	147707256	cg07461582	RINT-1	42745626	0.548	4.6565	4.3893	5.4606	1000GPgenotype	0.000022056172597
3	2608027	2608347	cg22700017	CAMK2N2	182853575	-0.556	4.8141	4.3853	5.4491	1000GPgenotype	0.000015341414053
19	56825620	56842045	cg27611665	FBXL12	47043214	0.561	4.9067	3.9951	4.8484	1000GPgenotype	0.000012395760897
5	151230352	151232850	cg27092035	ARL10	24494157	0.545	4.6134	4.5843	5.4882	1000GPgenotype	0.000024354883472
17	55934631	55936055	cg08635242	CPD	30205160	-0.537	4.4784	4.0776	5.0090	1000GPgenotype	0.000033237175567
17	70619324	70619833	cg16435601	FALZ	7367457	-0.523	4.2363	4.0990	5.2513	1000GPgenotype	0.000058031711118
13	46970883	46971205	cg00888561	WDFY2	4085612	0.574	5.1564	4.1874	5.1923	1000GPgenotype	0.000006976326207
3	196096013	196096328	cg03277051	COL8A1	95256750	-0.548	4.6592	4.5230	5.6514	1000GPgenotype	0.000021919469991
2	41098012	41098930	cg16406212	UBXD4	17081807	-0.550	4.7039	4.5201	5.5967	1000GPgenotype	0.000019775925524
6	119118982	119120620	cg20955831	LRRC16	93732432	-0.539	4.5004	4.3329	5.4520	1000GPgenotype	0.000031592914675
6	119118982	119120620	cg14556618	IGF2R	41190534	-0.545	4.6168	4.5583	5.8658	1000GPgenotype	0.000024165234430
